,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
453,J02021A000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,376,1,116,BUKIT BATOK STREET 31,650376,1,376 BUKIT BATOK STREET 31,"Gui Pin Vegetarian, 376 Unit 01-126, Bukit Batok Street 31, Bukit Gombak, Bukit Batok, Southwest, 650376, Singapore"
454,J02020B000,PRIME SUPERMARKET (1996) PTE LTD,na,142,1,281,TECK WHYE LANE,680142,4,142 TECK WHYE LANE,"Teck Whye Lane, Bukit Gombak, Southwest, 680140, Singapore"
455,J02017N000,PRIME SUPERMARKET LIMITED?,na,373,1,248,BUKIT BATOK STREET 31,650373,3,373 BUKIT BATOK STREET 31,"Prime, 373, Bukit Batok Street 31, Bukit Gombak, Bukit Batok, Southwest, 650371, Singapore"
456,SW11423N000,SHENG SIONG SUPERMARKET PTE LTD,na,18,1,95,TECK WHYE LANE,680018,2,18 TECK WHYE LANE,"Teck Whye Lane, Bukit Gombak, Southwest, 680140, Singapore"
457,SW14633X000,NTUC Fairprice Co-operative Ltd,HomeTeamNS BUKIT BATOK CLUBHOUSE,2,1,10,BUKIT BATOK WEST AVENUE 7,659003,0,2 BUKIT BATOK WEST AVENUE 7,"UOB, 2, Bukit Batok West Avenue 7, Bukit Gombak, Bukit Batok, Southwest, 659003, Singapore"
458,SW14542A000,COLD STORAGE SINGAPORE (1983) PTE LTD,HILLV2,4,2,7,HILLVIEW RISE,667979,1,4 HILLVIEW RISE,"HillView Market Place, 4, Hillview Rise, Bukit Gombak, Southwest, 669554, Singapore"
459,C02053L000,NTUC Fairprice Co-operative Ltd,#01-256/258,166,na,0,BUKIT BATOK WEST AVENUE 8,650166,0,166 BUKIT BATOK WEST AVENUE 8,"UOB, 166, Bukit Batok West Avenue 8, Bukit Gombak, Bukit Batok, Southwest, 650166, Singapore"
460,C02033V000,SHENG SIONG SUPERMARKET PTE LTD,na,154A,1,1,BUKIT BATOK WEST AVENUE 8,651154,2,154A BUKIT BATOK WEST AVENUE 8,"154A, Bukit Batok West Avenue 8, Bukit Gombak, Bukit Batok, Southwest, 650186, Singapore"
461,SW06322N000,OH BENG GUAN,MULTI STOREY CAR PARK,395A,3,10,BUKIT BATOK WEST AVENUE 5,651395,-1,395A BUKIT BATOK WEST AVENUE 5,"Goodview Gardens coffee shop, 395A, Bukit Batok West Avenue 5, Bukit Gombak, Bukit Batok, Southwest, 650338, Singapore"
462,J96145K000,NTUC Fairprice Co-operative Ltd,LOT 1 SHOPPERS' MALL,21,B1,3,CHOA CHU KANG AVENUE 4,689812,0,21 CHOA CHU KANG AVENUE 4,"Lot One Shoppers' Mall, 21, Choa Chu Kang Avenue 4, Southwest, 689812, Singapore"
